Season,Matchday,Date,Time,Home Team,Away Team,Result,Home Goals,Away Goals,Status,Match URL
2025,13,5/23/25,6:30 PM,Kauno Žalgiris,FA Šiauliai,3:0,3,0,played,https://www.transfermarkt.com/fk-kauno-zalgiris_fa-siauliai/index/spielbericht/4564332
2025,13,,,Banga,Panevėžys,1:1,1,1,played,https://www.transfermarkt.com/fk-banga-gargzdai_fk-panevezys/index/spielbericht/4564333
2025,13,5/24/25,6:00 PM,Riteriai,Hegelmann,2:4,2,4,played,https://www.transfermarkt.com/fk-riteriai_fc-hegelmann/index/spielbericht/4564335
2025,13,5/25/25,4:00 PM,Žalgiris,DFK Dainava,1:1,1,1,played,https://www.transfermarkt.com/fk-zalgiris-vilnius_dfk-dainava-alytus/index/spielbericht/4564334
2025,13,,6:00 PM,Džiugas,Sūduva,1:1,1,1,played,https://www.transfermarkt.com/fc-dziugas-telsiai_fk-suduva-marijampole/index/spielbericht/4564336
2025,14,5/30/25,6:00 PM,Kauno Žalgiris,DFK Dainava,4:0,4,0,played,https://www.transfermarkt.com/fk-kauno-zalgiris_dfk-dainava-alytus/index/spielbericht/4564367
2025,14,5/31/25,3:00 PM,Džiugas,Žalgiris,1:1,1,1,played,https://www.transfermarkt.com/fc-dziugas-telsiai_fk-zalgiris-vilnius/index/spielbericht/4564368
2025,14,,5:00 PM,Hegelmann,Banga,2:0,2,0,played,https://www.transfermarkt.com/fc-hegelmann_fk-banga-gargzdai/index/spielbericht/4564369
2025,14,6/1/25,3:30 PM,Sūduva,Riteriai,4:1,4,1,played,https://www.transfermarkt.com/fk-suduva-marijampole_fk-riteriai/index/spielbericht/4564370
2025,14,,5:25 PM,FA Šiauliai,Panevėžys,2:1,2,1,played,https://www.transfermarkt.com/fa-siauliai_fk-panevezys/index/spielbericht/4564371
2025,15,6/13/25,6:00 PM,Sūduva,Kauno Žalgiris,0:0,0,0,played,https://www.transfermarkt.com/fk-suduva-marijampole_fk-kauno-zalgiris/index/spielbericht/4564362
2025,15,,6:30 PM,Žalgiris,FA Šiauliai,0:0,0,0,played,https://www.transfermarkt.com/fk-zalgiris-vilnius_fa-siauliai/index/spielbericht/4564363
2025,15,,7:15 PM,Džiugas,Panevėžys,1:1,1,1,played,https://www.transfermarkt.com/fc-dziugas-telsiai_fk-panevezys/index/spielbericht/4564364
